CODRUB;DESCRIP RUBRO;CODART;DESCRIP ART;VTA30D;STOFIJ;STODIS;PRELIS1;PRELIS2;PRELIS3;PRELIS4;PRELIS5;PRELIS6;PORCIVA;PREDOL;IMPINT;EXENTO;ENLACE;UNIDAD;KILOS;ESTADO
SIM;SIM;15051;FELPA DE PUERTA 60X90;;1;0;-1;397.47;397.47;397.47;397.47;397.47;397.47;21;0;0;0;;U;0;A
SIM;SIM;15082;PULSADOR DOBLE CON SOPORTE SIEMENS;100350615;0;0;0;343.68;368.23;392.78;417.32;441.87;466.42;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;15303;LAMP DICROICA 3X3W FRIA;;0;0;0;116.89;125.24;133.58;141.93;150.28;158.63;21;0;0;0;;U;0;A
TEA;TEA;15888;BORNERA BIPOLAR T2-25A;B/0007;0;0;0;266.19;285.2;304.22;323.23;342.24;361.26;21;0;0;0;;U;0;A
TEA;TEA;16036;PILOTO LUMINOSO VISOR AMBAR 220V;L/0081;0;0;0;565.37;603.07;640.76;678.45;716.14;753.83;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;16125;BATERIA 12 VOLT 1,3 A VAPEX;;0;0;0;413.34;442.86;472.38;501.91;531.43;560.96;21;0;0;0;;U;0;A
TEA;TEA;16187;PILOTO LUMINOSO VISOR AMBAR 24V;L/0087;0;0;0;565.37;603.07;640.76;678.45;716.14;753.83;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;16413;BATERIA 12V7A;;0;0;0;1765.87;1892;2018.14;2144.27;2270.4;2396.54;21;0;0;0;;U;0;A
SLF;SEALF. S.A.;16531;LAMP RX7s SODIO 150W;;0;0;0;965.58;1034.55;1103.52;1172.49;1241.46;1310.43;21;0;0;0;;U;0;A
TEA;TEA;17021;PILOTO LUMINOSO VISOR BLANCO 220V;L/0091;0;0;0;565.37;603.07;640.76;678.45;716.14;753.83;21;0;0;0;;U;0;A
TEA;TEA;17022;PILOTO LUMINOSO VISOR AZUL 24V;L/0093;0;0;0;565.37;603.07;640.76;678.45;716.14;753.83;21;0;0;0;;U;0;A
TEA;TEA;17487;PILOTO LUMINOSO VISOR VERDE 110V;;0;0;0;565.37;603.07;640.76;678.45;716.14;753.83;21;0;0;0;;U;0;A
TEA;TEA;17683;PILOTO LUMINOSO VISOR ROJO 110V;;1;0;-1;565.37;603.07;640.76;678.45;716.14;753.83;21;0;0;0;;U;0;A
TEA;TEA;17684;PILOTO LUMINOSO VISOR AMARILLO 110V;;0;0;0;513.98;548.24;582.5;616.77;651.04;685.3;21;0;0;0;;U;0;A
TEA;TEA;18067;FIN DE CARRERA L-1 SIN PALANCA;;0;0;0;4427.35;4743.6;5059.84;5376.07;5692.31;6008.55;21;0;0;0;;U;0;A
WEG;WEG;18196;FUSIBLE NH T0125L2 WEG;;0;0;0;1890;2025;2160;2295;2430;2565;21;0;0;0;;U;0;A
TEA;TEA;18740;FUSIBLE 5X20 2.5A F/0093;;0;0;0;28.92;30.99;33.05;35.12;37.19;39.25;21;0;0;0;;U;0;A
TEA;TEA;18741;PORTAFUSIBLE P/FUSIBLE 5X20 F/0083;;0;0;0;168.88;180.94;193.01;205.07;217.13;229.19;21;0;0;0;;U;0;A
